cell_id,CWI,literature_cwi,workload_state,condition,demand_score,capacity_score,stress_score,dediff_score
ERR1630023,0.9303489807944039,2.052692488786417,S4_Exhausted,ND,0.6730593165555442,0.2092436337958402,0.8037539944257899,0.3222183312409125
ERR1630038,0.8904848127677166,1.1600257455736522,S3_Stressed,ND,0.5979098406035852,0.4174502803207488,0.5097676098548831,0.04055723412056328
ERR1630043,0.920923101228864,2.997496426689895,S5_Failing,ND,0.849331790088089,0.3053152853332904,0.7965315112613219,0.526906996005808
ERR1630053,0.9320193064453949,1.880253767083046,S4_Exhausted,ND,0.7717542255795962,0.2423228669431667,0.6489983601145253,0.28894241545341715
ERR1630057,0.8469991841885084,0.730516406430033,S2_Active,ND,0.5496714153011233,0.708704706823817,0.1319975278421509,0.028469629074003175
ERR1630070,0.9752884355541768,1.1673789317522214,S3_Stressed,ND,0.6117327383308782,0.46786141583470064,0.42269902161445333,0.14006249770462273
ERR1630073,0.893301174674548,2.150984373890488,S4_Exhausted,ND,0.8502357052096028,0.3755391225825756,0.6730125064706628,0.5752270443423623
ERR1630077,0.8743881659090852,0.9479055922937284,S2_Active,ND,0.4861735698828815,0.6700992649534132,0.22322536971610035,0.16795977489346758
ERR1630089,0.9203835344649545,1.1088666295231002,S3_Stressed,ND,0.7277664895788425,0.5412931454275625,0.5024510174258943,0.20052436997181833
ERR1630099,0.9085078330433453,1.2419114950775887,S3_Stressed,ND,0.540842861116417,0.44362754471960253,0.549799829124545,0.20469805937647423
ERR1630101,0.9462431908370325,0.6131301249698107,S2_Active,ND,0.5647688538100692,0.7091760776535502,0.22930724732986812,0.026963336828286333
ERR1630105,0.8480958609945202,0.5657463961692444,S2_Active,ND,0.6523029856408026,0.5012431085399107,0.12856485819736324,0.12164585895819749
ERR1630110,0.15939275477280654,1.6692312772762468,S4_Exhausted,ND,0.7074094780419775,0.35009171876243805,0.6021236284217693,0.4935678393147461
ERR1630128,0.8578645936812785,2.620927258496373,S5_Failing,ND,0.8184836123694874,0.19604448461433452,0.8234214732536521,0.5966873027126203
ERR1630129,0.606429471765493,0.7924061040947451,S2_Active,ND,0.4765846625276664,0.6780328112162488,0.38657745111447567,0.10455718399038139
ERR1630132,0.07355177528771514,2.001098777931787,S4_Exhausted,ND,0.8628615545571292,0.20224447552014488,0.6555706739923888,0.5271555094994159
ERR1630137,0.8001783705218284,1.552829829475021,S4_Exhausted,ND,0.5619898541785108,0.3099332305429226,0.7377300493044852,0.4721672064043235
ERR1630145,0.9391763565908677,1.7901925396573062,S4_Exhausted,ND,0.5296617560644845,0.3751387123371789,0.7756988616645352,0.2870948228782771
ERR1630147,0.2400145599397846,2.341885404073624,S4_Exhausted,ND,0.6944452301103381,0.1330594718878628,0.6077834675822374,0.34754797337202264
ERR1630148,0.16003747375037364,1.9309028419636447,S4_Exhausted,ND,0.7384065448939306,0.3543360192379935,0.786960592010566,0.44893745612279184
ERR1630153,0.07968695634233518,0.9290142741628166,S2_Active,ND,0.4765863043050819,0.7357112571511746,0.24738329209117876,0.03483996523941829
ERR1630157,0.07194724510590893,2.3046227581918046,S4_Exhausted,ND,0.6967305251905906,0.23373762410541532,0.8355637858804951,0.2777872191108055
ERR1630164,0.08679965072664632,1.923439746646143,S4_Exhausted,ND,0.4932557899960123,0.3570598668593159,0.74134349032237,0.4712998430172388
ERR1630168,0.9554424093795308,0.8525165881811119,S2_Active,ND,0.6579212815507391,0.8477894044741516,0.08086965027973514,0.31439440893253257
ERR1630175,0.07294467741471451,1.6588487524717568,S4_Exhausted,ND,0.6910879960487211,0.22367408434574831,0.8876795812558066,0.37596746018418653
ERR1630176,0.07013357148337374,2.004608902952949,S4_Exhausted,ND,0.5695530499495146,0.11951178993354808,0.6226210800896427,0.3625179192450403
ERR1630183,0.11427929218446164,2.4865831647832257,S4_Exhausted,ND,0.7669672548830038,0.13724575621168372,0.5755345296688582,0.4710959968203492
ERR1630193,0.16882650662163678,2.653048771036357,S5_Failing,ND,0.7141642219818787,0.26815006973726246,0.9550500492814078,0.7794557863517788
ERR1630196,0.5677255428084161,1.6124689040881974,S4_Exhausted,ND,0.7366598246096848,0.3048084946661382,0.5221279751095721,0.44442633114860397
ERR1630199,0.6908347149696639,1.6624690401748412,S4_Exhausted,ND,0.6060120213672644,0.32597225017214815,0.8496044311489183,0.36390338341809203
ERR1630200,0.07259909585821936,1.8366806137171232,S4_Exhausted,ND,0.6486133082663306,0.2095683374895591,0.7654365656354057,0.5159329803364249
ERR1630204,0.2719080528150692,0.8660670103619982,S2_Active,ND,0.5767434729152909,0.6481729781726352,0.265655360863383,0.1633919022318011
ERR1630212,0.17726295464106234,1.2895226776183226,S3_Stressed,ND,0.6547097381170037,0.41777796044335685,0.6451143607795042,0.15499345285207564
ERR1630233,0.8490679595014614,0.2432375774220467,S1_Resting,ND,0.5,0.5,0.3,0.2
ERR1630239,0.2919988906481171,1.042254888502089,S3_Stressed,ND,0.5797807347566106,0.5243687211491912,0.5959270826085207,0.2622849932347499
ERR1630240,0.141652155580201,1.5578839282593402,S4_Exhausted,ND,0.5940786478111048,0.3638592458777374,0.6944415329089545,0.2918936672400103
ERR1630242,0.08034996845059832,1.3458818603739524,S3_Stressed,ND,0.578231879677278,0.5244966571108722,0.7153182457511557,0.09323795706174057
ERR1630249,0.0003218105313434273,3.6123998062268847,S5_Failing,ND,0.8700309879408992,0.20283183761304613,0.7001645959261209,0.5482388700963828
